"ID"|"FIRST_NAME"|"LAST_NAME"|"GENDER"|"AGE"|"OCCUPATION"|"MARITALSTATUS_OUT"|"SALARY_OUT"|"ADDRESS"|"CITY"|"STATE"|"ZIP"|"PHONE"|"ALT_PHONE"|"EMAIL"|"SUBDATE"|"NUMBER_OF_RENTALS"
6009|Noel|Jeremiah|F|"25-34"|Programmer|Married|< 50,000|"37453 Cajon Blvd"|||"99503"|"907-272-9080"|"528-223-3680"|njeremiah@jeremiah.com|"2014-01-18T00:00:00.000Z"|472
5980|Hoa|Harnois|M|"56+"|Academic/Educator|Married|> 200,000|"3 Story Rd W"|||"77041"|"713-471-1812"|"965-483-6148"|hharnois@harnois.org|"2011-08-05T00:00:00.000Z"|478
5978|Jessika|Courtnage|M|"35-44"|Academic/Educator|Married|< 50,000|"76723 Blackington Ave #6"|||"53204"|"414-835-8995"|"326-407-109"|jessika_courtnage@aol|"2014-08-29T00:00:00.000Z"|637
5956|Trevor|Eichstadt|F|"18-24"|College/Grad Student|Married|"50,000-99,999"|"139 Run Subdivision"|||"97223"|"503-544-8104"|"493-636-2994"|trevor.eichstadt@cox.net|"2010-01-13T00:00:00.000Z"|156
5930|Romana|Varnon|F|"35-44"|Technical/Engineer|Married|< 50,000|"7 E Main St"|||"89501"|"775-297-3894"|"476-178-1076"|rvarnon@cox.net|"2015-12-28T00:00:00.000Z"|330
5927|Gale|Forero|M|"35-44"|Sales/Marketing|Married|"100,000-149,999"|"3485 E Pacific Way"|||"48329"|"248-845-1493"|"649-918-2104"|gale@cox.net|"2009-05-17T00:00:00.000Z"|899
5913|Daniel|Lacko|F|"18-24"|Other|Married|"150,000-199,999"|"7318 Alewa Dr"|||"20852"|"301-374-7152"|"904-517-7296"|""|"2009-05-06T00:00:00.000Z"|90
5859|Rebecka|Yoder|M|"25-34"|Executive/Managerial|Married|"100,000-149,999"|"6122 Tudor Centre Dr"|||"02601"|"508-291-9035"|"797-183-7029"|rebecka@yahoo.com|"2007-12-26T00:00:00.000Z"|874
5856|Wanita|Indeck|F|"25-34"|Executive/Managerial|Married|"150,000-199,999"|"23 Kamehameha Hwy"|||"32405"|"850-734-1339"|"92-567-6202"|""|"2009-03-10T00:00:00.000Z"|699
5842|Dinah|Raebel|M|"25-34"|College/Grad Student|Married|"150,000-199,999"|"4570 Honeck St #71"|||"33016"|"305-9"|"150-939-8564"|draebel@yahoo.com|"2012-04-13T00:00:00.000Z"|630
5935|Bella|Fabio|M|"18-24"|Other|Married|> 200,000|"53 Monte Vista Ave #39"|||"91409"|"818-300-6980"|"30-793-5875"|bella_fabio@hotmail.com|"2008-09-07T00:00:00.000Z"|762
5822|Erik|Renzullo|F|"35-44"|College/Grad Student|Married|"100,000-149,999"|"35 Civic Center Dr"|||"95050"|"408-361-6001"|"579-235-2614"|erik.renzullo@yahoo.com|"2009-06-17T00:00:00.000Z"|712
5841|Magdalena|Leriche|"0"|"35-44"|Executive/Managerial|Married|"150,000-199,999"|"2247 2nd Ave"|||"54115"|"920-258-7906"|"982-430-7964"|magdalena.leriche@cox.net|"2008-01-24T00:00:00.000Z"|365
6005|Missy|Henseler|"0"|"25-34"|Customer Service|Married|"50,000-99,999"|"361 W Henry St"|||"90043"|"323-596-9762"|"177-774-8881"|missy@henseler.org|"2016-03-22T00:00:00.000Z"|953
5946|Thaddeus|Opstein|F|"56+"|Academic/Educator|Married|> 200,000|"5677 Pistorio Rd"|||"07032"|"201-268-1528"|"570-163-6515"|topstein@hotmail.com|"2015-07-11T00:00:00.000Z"|914
6020|Sharda|Driedric|"1"|"50-55"|Self-Employed|Married|"100,000-149,999"|"5 Calle Carga"|||"41653"|"606-887-2165"|"589-892-6514"|sharda@yahoo.com|"2015-03-11T00:00:00.000Z"|4
5958|Song|Honn|"1"|"45-49"|Sales/Marketing|Married|"100,000-149,999"|"144 W Grand Ave"|||"03246"|"603-268-1580"|"795-515-6115"|song_honn@honn.com|"2007-08-10T00:00:00.000Z"|556
5950|Serena|Duncomb|"1"|"25-34"|College/Grad Student|Married|"150,000-199,999"|"87398 Lee Dr"|||"96797"|"808-776-2846"|"350-260-548"|sduncomb@duncomb.com|"2013-11-01T00:00:00.000Z"|526
5907|Sumiko|Ondo|"1"|"25-34"|Artist|Married|"150,000-199,999"|"5 Hinton St #5"|||"06473"|"203-804-4521"|"115-291-3817"|sumiko@aol.com|"2011-05-07T00:00:00.000Z"|660
6029|Dustin|Fritz|F|"25-34"|Academic/Educator||"100,000-149,999"|"360 Myrtle St"|||"72201"|"501-869-7190"|"70-673-408"|dustin.fritz|"2014-08-02T00:00:00.000Z"|833
6028|Kayla|Cabiness|M|"18-24"|College/Grad Student||"100,000-149,999"|"4 Adamsville Rd N"|||"44718"|"330-973-1287"|"76-231-1591"|kayla_cabiness@cabiness.com|"2010-01-23T00:00:00.000Z"|569
6019|Evalyn|Socci|M|"25-34"|Other||"50,000-99,999"|"43255 Lake Rd Se"|||"38118"|"901-488-8526"|"520-606-7761"|evalyn_socci@gmail.com|"2014-08-14T00:00:00.000Z"|114
5994|Davis|Christina|M|"35-44"|Academic/Educator||> 200,000|"5 Delaware Ave"|||"37210"|"615-308-9990"|"302-570-1237"|davis.christina@gmail.com|"2014-10-07T00:00:00.000Z"|655
